"ts30288,Mobile Suit Gundam Unicorn,SHOW,The series begins in U.C. 0001  at the very beginning of human space colonization  when a space colony called Laplace is destroyed during a ceremony hosted by the Federation's Prime Minister ushering in the Universal Century dating system. The main story takes place in UC 0096  sixteen years after the end of the One Year War  three years after the events of Mobile Suit Gundam: Char's Counterattack  and 27 years before Mobile Suit Gundam F91.,,,,,,,,,,,"
"ts21967,Johnny Test,SHOW,Young Johnny is gung-ho and full of courage. Johnny's brainiac twin sisters  Susan and Mary  use Johnny as their guinea pig for their outrageous scientific experiments. If they can dream it up  Johnny will do it,,,,,,,,,,,"
"ts17028,Dinosaur King,SHOW,Dinosaur King is a card-based arcade game from Sega that uses the same gameplay mechanics from Mushiking but uses super-powered dinosaurs instead of beetles. The game was revealed in JAMMA 2005 and is available in Japanese and English versions. A Nintendo DS version has also been released in North America.,,,,,,,,,,,"
"ts3666,Den-noh Coil,SHOW,Dennō Coil  Coil — A Circle of Children  is a Japanese science fiction anime television series depicting a near future where semi-immersive augmented reality technology has just begun to enter the mainstream. The series takes place in the fictional city of Daikoku  a hotbed of AR development with an emerging city-wide virtual infrastructure. It follows a group of children as they use AR glasses to unravel the mysteries of the half real  half Internet city  using a variety of illegal software tools  techniques  and virtual pets to manipulate the digital landscape.,,,,,,,,,,,"
"tm31290,Population 436,MOVIE,A census-taker is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.,2006,R,88,['horror'  'thriller'],['CA'],,,,,6.915,5.8"
"tm80059,Naruto Shippuden the Movie,MOVIE,Demons that once almost destroyed the world  are revived by someone. To prevent the world from being destroyed  the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons  who has two powers,,,,,,,,,,,"
"tm53999,Open Season 2,MOVIE,After falling head over hooves in love with Giselle  Elliot's road to the altar takes a slight detour when Mr. Weenie is kidnapped by a group of pampered pets determined to return him to his owners.,2008,PG,76,['comedy'],['US'],,,,,18.986,5.8"
"ts72322,The Mafia Dolls,SHOW,""Las Muñecas De La Mafia is a 2009 Colombian telenovela produced by BE-TV and broadcast by Caracol TV. It's based on Juan Camilo Ferrand and Andres Lopez's book """"Las Fantásticas"""". They also wrote the scripts for the television series. The telenovela will debut soon on the Telefutura Network. Series debuted on May 3  2010 after the Vecinos finale. The show ended July 2010 in the U.S."",,,,,,,,,,,"
"ts52849,Horrid Henry,SHOW,Horrid Henry is a British animated television series based on the book series by Francesca Simon produced by One Explosion Studios and Nelvana Limited  broadcast from late 2006 on Children's ITV in the UK and it will air on Cartoon Network Pakistan and Cartoon Network India on 2013 from 6am until 6:30am. The animation style differs from the Tony Ross illustrations in the books. Series Producer of the series is Lucinda Whiteley  Animation Director is Dave Unwin. The series has been sold to more than a dozen countries including France  Germany  South Africa  South Korea  and the Philippines.,,,,,,,,,,,"
"ts14102,Bo on the Go!,SHOW,""Bo on the Go! is a Canadian TV series  created by Jeff Rosen and produced by Decode Entertainment  a DHX Media Company  in association with Decode Entertainment and Halifaxfilm. The TV series emphasizes the importance of movement for children through a plot element called """"Animoves""""  which are animations demonstrating specific body movements that viewers must learn in order to solve problems highlighted in each episode."",,,,,,,,,,,"
"tm24576,Naruto: Guardians of the Crescent Moon Kingdom,MOVIE,Naruto Uzumaki  Kakashi Hatake  Sakura Haruno  and Rock Lee are assigned to protect the prince of the Land of the Moon  Michiru  during his world trip,,,,,,,,,,,"
"ts74931,Kung Fu Panda Awesome Secrets,SHOW,In this pair of adventures  Po tells the story of how masters Thundering Rhino  Storming Ox and Croc met and takes on Shifu's biggest challenge yet.,2008,,0,['action'  'comedy'  'family'  'animation'],['US'],1.0,tt6963796,7.2,55.0,,"
"tm110923,Divine Intervention,MOVIE,Santa Claus tries to outrun a gang of knife-wielding youth. It's one of several vignettes of Palestinian life in Israel - in a neighborhood in Nazareth and at Al-Ram checkpoint in East Jerusalem. Most of the stories are droll  some absurd  one is mythic and fanciful,,,,,,,,,,,"
"tm75022,Zach Galifianakis: Live at the Purple Onion,MOVIE,From an inauspicious beginning performing comedy routines in the back of a burger joint in New York  unorthodox stand-up star Zach Galifianakis has made a splash on the scene with his inimitable brand of humor. In this live show filmed at San Francisco's Purple Onion nightclub  the versatile funnyman serves up a healthy dose of his signature wit.,2007,,61,['comedy'],['US'],,,,,6.223,7.0"
"ts98252,Dreamworks Happy Holidays from Madagascar,SHOW,Madagascar goes wild with holiday spirit in this set of Valentine's Day and Christmas-themed tales featuring everyone's favorite animal characters.,2005,TV-PG,0,['animation'  'comedy'  'family'],['US'],1.0,tt6929194,6.5,96.0,3.42,"
